ID,year,date,survey_area,v1_sex,v2_gen,v3_residence,v3_residence_hokkaido,v3_residence_not_hokkaido,v4_fishing_experience_years,v5_fishing_days_this_season,v7_no_spot_reservation,v7_no_littering,v7_no_entry_restricted_area,v7_no_fishing_in_restricted_area,v7_no_dune_destruction,v7_no_tent,v8_max_rods_three,v8_max_catch_three,v8_discourage_illegal_parking,v8_discourage_bonfire,v8_discourage_release,v8_discourage_camping,v8_discourage_miniboat_use,v8_use_designated_toilets,知らなかった,v9_info_friends_word_of_mouth,v9_info_tv_newspaper,v9_info_fishing_magazine,網走市のお知らせ,v9_info_web_blog,v9_info_personal_sns,v10_formulation_procedure,v11_improve_transparency_process,v11_reflect_fishers_opinions,v11_improve_opportunity_for_input,v11_no_need_for_rule_making,Q11.　サケ・マス資源を持続的に利用するための漁業者の取り組みについて,v12_fisher_burden,v14_license_system,Q14.　「社会的に望ましい釣り場」　VS　「自由な釣り」,Q14.　数値変換（ルール重視をプラス、自由重視をマイナス）,15-1.　「釣り竿の数は3 本まで」というルールの重要度,15-2　「釣る尾数は3 尾まで」というルールの重要度,15-3.　「場所取り禁止」というルールの重要度,15-4.　「テントの常設禁止」というルールの重要度,15-5.　「迷惑駐車はしない」というルールの重要度,15-6.　「トイレは決められた場所でする」というルールの重要度,16-1.　「釣り竿の数は3 本まで」というルールが妨げになるか,16-2.　「釣る尾数は3 尾まで」というルールが妨げになるか,16-3.　「場所取り禁止」というルールが妨げになるか,16-4.　「テントの常設禁止」というルールが妨げになるか,16-5.　「迷惑駐車はしない」というルールが妨げになるか,16-6.　「トイレは決められた場所でする」というルールが妨げになるか,17.　今後必要なルールなど,【調査員/入力者所感】回答で気になること・備考,最終変更時刻
14,2024,10月18日,鱒浦,男性,70代,道内,旭川,,5 年以上10 年未満,5 日以上10 日未満 ,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,知らないが、納得している,0,0,0,0,少し知っている,賛成,わからない,ルール重視：2,2,10,10,10,10,10,10,1,1,1,1,1,1,トイレをむう少し整備し、数を増やして欲しい。,,
15,2024,10月18日,鱒浦,男性,50代,道内,江別,,20 年以上,5 日未満 ,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,知っていて、納得している,0,0,0,0,知っている,賛成,賛成,ルール重視：3,3,7,1,10,10,10,10,5,3,3,3,1,1,"地方から釣りに来た人としては、釣れない時もあるので、3匹までというのはつらい。
釣れる時にたくさん釣りたい。長く網走に滞在できるわけでもないので(滞在費もかかる)
今後も網走に鮭釣りで訪れたいと思っておりますので、地方からの釣り人への心遣いをもとめる。",この回答者はしっかりとルールを守っているそうでので、地方から(札幌方面)の釣り人に対しては、釣り竿3本、3尾までというのは厳しいのではないでしょうか,
16,2024,10月18日,鱒浦,男性,70代,道内,大空,,20 年以上,5 日未満 ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,知っていて、納得している,0,0,0,0,知っている,賛成,賛成,ルール重視：3,3,5,5,10,10,10,10,3,3,1,1,1,1,,,
17,2024,10月17日,モヨロ,男性,40代,道内,札幌,,10 年以上20 年未満,5 日未満 ,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,未回答,0,0,0,0,少し知っている,どちらかといえば賛成,ライセンスの数は釣り場周辺の駐車スペースの広さを基準とするに丸がついている,0,0,10,5,10,10,10,10,1,5,1,1,1,1,,,
18,2024,10月17日,モヨロ,男性,70代,道内,津別,,5 年以上10 年未満,10 日以上30 日未満 ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,知っていて、納得している,0,0,0,0,あまり知らない,どちらかといえば反対,ライセンスの数は釣り場周辺の駐車スペースの広さを基準とするにまる。,ルール重視：4,4,5,1,10,10,10,3,5,8,10,10,10,5,,,
19,2024,10月17日,モヨロ,男性,70代,道内,石狩,,20 年以上,5 日以上10 日未満 ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,知っていて、納得している,0,0,0,0,少し知っている,どちらかといえば賛成,ライセンスの数には限りがある。申込者が超過した場合は抽選を行うにまる。,ルール重視：4,4,10,6,10,10,,10,1,6,1,1,1,1,,,
20,2024,10月17日,モヨロ,男性,70代,道内,札幌,,5年未満,5 日未満 ,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,知っていて、納得している,0,0,0,0,知っている,どちらかといえば賛成,賛成,ルール重視：3,3,3,3,10,10,5,10,10,10,10,10,5,10,,,
21,2024,10月17日,モヨロ,男性,50代,道内,未回答,,20 年以上,5 日未満 ,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,知っていて、納得している,0,0,0,0,知っている,わからない,反対,自由重視：4,-4,10,1,10,10,10,10,1,10,1,1,1,1,,,
22,2024,10月17日,モヨロ,男性,50代,道内,江別,,20 年以上,5 日未満 ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,知っていて、納得している,0,0,0,0,あまり知らない,どちらかといえば反対,反対,ルール重視：1,1,5,4,7,8,8,3,3,3,3,2,1,1,,,
23,2024,10月17日,モヨロ,男性,30代,道内,札幌,,20 年以上,5 日以上10 日未満 ,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,知っていて、納得している,0,0,0,0,あまり知らない,賛成,賛成,自由重視：4,-4,1,1,5,1,5,10,3,5,5,5,5,5,,,
24,2024,10月17日,モヨロ,女性,50代,道内,北見,,10 年以上20 年未満,5 日以上10 日未満 ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,知っていて、納得している,0,0,0,0,知っている,どちらかといえば賛成,どちらかといえば賛成,ルール重視：2,2,8,8,8,10,10,10,10,8,8,10,10,10,,,
25,2024,10月17日,モヨロ,女性,40代,道内,足寄,,5年未満,5 日未満 ,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,知っていて、納得している,0,0,0,0,あまり知らない,どちらかといえば反対,どちらかといえば反対,ルール重視：3,3,4,8,5,5,3,8,3,7,5,5,8,7,,,
26,2024,10月17日,モヨロ,男性,70代,道内,旭川,,10 年以上20 年未満,5 日未満 ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,知らないが、納得している,0,0,0,0,知っている,どちらかといえば反対,どちらかといえば反対,ルール重視：3,3,6,4,9,9,8,9,3,5,9,9,7,9,,,
27,2024,10月17日,モヨロ,男性,20代,道内,未回答,,5 年以上10 年未満,5 日未満 ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,知っていて、納得している,0,0,0,0,知っている,賛成,賛成,ルール重視：4,4,10,4,10,10,9,10,10,10,1,1,10,1,,,
28,2024,10月17日,モヨロ,女性,20代,道内,旭川,,5年未満,5 日以上10 日未満 ,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,知っていて、納得している,0,0,0,0,知っている,賛成,賛成,ルール重視：4,4,10,5,10,10,10,10,10,10,1,1,1,1,,,
29,2024,10月17日,モヨロ,男性,50代,道内,札幌,,5年未満,5 日未満 ,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,知っていて、納得している,0,0,0,0,知っている,賛成,ライセンスの数は釣り場周辺の駐車スペースの広さを基準とするにまる。,0,0,10,5,10,10,10,10,10,8,10,10,10,10,,,
30,2024,10月17日,モヨロ,男性,50代,道内,富良野,,10 年以上20 年未満,5 日未満 ,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,知らないが、納得している,0,0,0,0,あまり知らない,賛成,賛成,自由重視：4,-4,5,5,3,3,1,1,5,4,1,1,1,1,駐車場の制限,,
31,2024,10月17日,モヨロ,男性,50代,道内,旭川,,10 年以上20 年未満,5 日未満 ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,知っていて、納得している,0,0,0,0,少し知っている,賛成,賛成,ルール重視：4,4,10,10,10,10,10,6,1,6,1,1,1,7,ライセンス制の導入,,
32,2024,10月17日,モヨロ,男性,30代,網走市内,,,5年未満,5 日以上10 日未満 ,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,知らないが、納得している,0,0,0,0,知っている,反対,反対,ルール重視：1,1,6,3,6,8,8,5,1,9,9,2,2,5,"つり家を。。。（はっきり読めない）
制御するためマナーをつくる（はっきり読めない）
QRにしたほうが後で回答してくれる",,
33,2024,10月17日,モヨロ,男性,60代,道内,釧路,,20 年以上,5 日未満 ,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,知っていて、納得している,0,0,0,0,知っている,どちらかといえば反対,反対,ルール重視：2,2,8,8,8,10,10,6,1,1,1,1,1,5,トイレがあねえよ,,
34,2024,10月17日,モヨロ,男性,70代,道内,新得,,5 年以上10 年未満,5 日未満 ,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,知っていて、納得している,0,0,0,0,知っている,どちらかといえば賛成,賛成,0,0,1,4,10,10,10,10,1,9,1,1,1,1,マナーをみんな守ってほしい,,
35,2024,10月17日,モヨロ,男性,30代,道内,旭川,,5 年以上10 年未満,5 日未満 ,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,知らないし、納得していない,0,0,1,0,知っている,どちらかといえば反対,どちらかといえば賛成,0,0,10,1,10,10,10,10,6,10,10,10,1,1,三本までにしないでほしい。（釣る数）,,
36,2024,10月17日,モヨロ,男性,30代,網走市内,,,5 年以上10 年未満,10 日以上30 日未満 ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,知っていて、納得している,0,0,0,0,少し知っている,反対,反対,自由重視：3,-3,10,6,8,8,10,10,2,8,2,2,8,6,,,
37,2024,10月15日,北浜,無回答,80代以上,網走市内,,,未回答,10 日以上30 日未満 ,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,知っていて、納得している,0,0,0,0,少し知っている,どちらかといえば賛成,どちらかといえば賛成,ルール重視：4,4,8,3,8,8,8,8,8,3,8,8,8,8,,,
38,2024,10月15日,北浜,男性,50代,道内,旭川,,10 年以上20 年未満,5 日以上10 日未満 ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,知っていて、納得している,0,0,0,0,知っている,反対,反対,自由重視：4,-4,10,1,10,5,10,10,1,10,1,1,1,1,,,
39,2024,10月15日,北浜,男性,20代,網走市内,,,10 年以上20 年未満,30 日以上50 日未満 ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,知っているが、納得していない,0,1,0,1,知っている,わからない,どちらかといえば反対,ルール重視：2,2,5,5,10,10,10,10,5,5,10,10,10,10,,,
40,2024,10月15日,北浜,男性,70代,道内,北見市,,10 年以上20 年未満,5 日以上10 日未満 ,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,知っていて、納得している,0,0,0,0,知っている,反対,わからない,ルール重視：4,4,1,5,1,1,1,1,1,1,1,1,1,1,,,
41,2024,10月15日,北浜,男性,60代,網走市内,,,20 年以上,50 日以上,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,知っていて、納得している,0,0,0,0,少し知っている,どちらかといえば賛成,どちらかといえば賛成,0,0,10,5,3,10,10,10,1,5,1,5,1,1,,,
42,2024,10月15日,北浜,男性,80代以上,網走市内,,,20 年以上,30 日以上50 日未満 ,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,知っていて、納得している,0,0,0,0,知っている,どちらかといえば反対,未回答,自由重視：2,-2,5,5,5,5,1,5,5,5,5,5,5,5,,,
43,2024,10月15日,北浜,男性,50代,道内,未回答,,20 年以上,5 日未満 ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,知らないが、納得している,0,0,0,0,あまり知らない,どちらかといえば賛成,どちらかといえば賛成,ルール重視：1,1,5,3,6,7,7,7,5,5,5,5,5,5,,,
44,2024,10月15日,北浜,男性,50代,道内,長沼町,,5 年以上10 年未満,5 日未満 ,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,知っていて、納得している,0,0,0,0,あまり知らない,反対,どちらかといえば反対,自由重視：4,-4,7,6,10,1,10,5,7,10,10,1,9,5,,,
45,2024,10月15日,北浜,男性,70代,網走市内,,,5 年以上10 年未満,30 日以上50 日未満 ,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,知っているが、納得していない,1,1,1,0,知っている,どちらかといえば賛成,賛成,自由重視：4,-4,10,5,10,10,10,10,1,10,5,10,10,1,"・釣り人の意見を聞いてほしい
・マナーが悪い人が多い→ライセンス制
・場所とり禁止というルール→少しでも場所を離れるととられてしまうという状況によってしまっている",,
46,2024,10月15日,北浜,男性,30代,道内,札幌市,,5年未満,5 日未満 ,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,知らないが、納得している,0,0,0,0,あまり知らない,どちらかといえば賛成,どちらかといえば賛成,0,0,10,2,8,5,10,10,2,10,8,1,1,1,,,
47,2024,10月15日,北浜,男性,70代,道内,北見市,,20 年以上,5 日以上10 日未満 ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,知っていて、納得している,0,0,0,0,知っている,どちらかといえば賛成,どちらかといえば賛成,自由重視：4,-4,8,6,10,10,10,10,3,7,3,1,2,3,,前月から場所取り、さおたてはやめてほしい,
48,2024,10月15日,北浜,男性,40代,道内,札幌市,,10 年以上20 年未満,5 日未満 ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,知っているが、納得していない,0,0,1,0,少し知っている,どちらかといえば反対,どちらかといえば賛成,ルール重視：2,2,5,2,10,10,10,10,1,5,1,1,1,1,,,
49,2024,10月15日,北浜,男性,50代,道外,,大阪,5 年以上10 年未満,5 日未満 ,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,未回答,0,0,0,0,未回答,未回答,未回答,未回答,未回答,,,,,,,,,,,,,,,
50,2024,10月15日,北浜,男性,60代,道内,帯広市,,20 年以上,5 日未満 ,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,知っていて、納得している,0,0,0,0,知っている,反対,どちらかといえば反対,0,0,3,6,10,1,10,10,6,8,10,6,10,10,,,
51,2024,10月15日,北浜,男性,40代,道内,十勝,,20 年以上,5 日以上10 日未満 ,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,知っていて、納得している,0,0,0,0,知っている,反対,未回答,自由重視：2,-2,7,4,9,10,10,5,2,4,10,10,10,6,,,
52,2024,10月15日,北浜,男性,70代,道内,上士幌,,20 年以上,5 日未満 ,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,知らないが、納得している,0,0,0,0,少し知っている,未回答,わからない,未回答,未回答,5,3,10,9,10,10,4,7,3,3,3,1,,,
53,2024,10月15日,北浜,女性,50代,道内,旭川,,5年未満,5 日未満 ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,知らないが、納得している,0,0,0,0,少し知っている,反対,反対,自由重視：3,-3,5,6,3,3,5,1,5,6,2,1,4,1,,,
